name,address,phone,type,district,latitude,longitude,city_center_latitude,city_center_longitude,location_precision
Jamnagar City B Div,"Valkeshwari, Park Colony, Jamnagar - 361008",0288-2550244,police,Jamnagar,22.470536,70.063392,22.4732415,70.0552102,city
Jamnagar City C Div,"Khodiyar Colony, Jamnagar - 361006",0288-2550805,police,Jamnagar,22.48123,70.043095,22.4732415,70.0552102,city
Panch A PS,"Air Force Road, Jamnagar - 361004",0288-2570400,police,Jamnagar,22.480701,70.065668,22.4732415,70.0552102,city
Panch B PS,"Main Road, Dared, Jamnagar - 361004",0288-2730151,police,Jamnagar,22.455162,70.047161,22.4732415,70.0552102,city
Sikka PS,"Opp Ayurvedic Hospital, Sikka, Jamnagar - 361140",0288-2344249,police,Jamnagar,22.467789,70.061848,22.4732415,70.0552102,city
Lalpur PS,"Lalpur Town, Jamnagar - 361170",02895-272236,police,Jamnagar,22.473743,70.07033,22.4732415,70.0552102,city
Meghpar PS,"State Highway 6, Jhakhar, Jamnagar - 361010",0288-2846125,police,Jamnagar,22.470887,70.048091,22.4732415,70.0552102,city
Dhrol PS,"Dhrol Town, Jamnagar - 361210",02897-222033,police,Jamnagar,22.45387,70.058976,22.4732415,70.0552102,city
Jodia PS,"Jodia Town, Jamnagar - 361250",02893-222033,police,Jamnagar,22.464546,70.052799,22.4732415,70.0552102,city
Kalavad Town PS,"Kalavad Town, Jamnagar - 361160",02894-222033,police,Jamnagar,22.472344,70.03809,22.4732415,70.0552102,city
Kalavad Rural PS,"Rural Division Office, Kalavad, Jamnagar - 361160",02894-222033,police,Jamnagar,22.460788,70.052358,22.4732415,70.0552102,city
Jamjodhpur PS,"Near Sardar Patel School, Jamjodhpur, Jamnagar - 360530",02898-220069,police,Jamnagar,22.474157,70.062257,22.4732415,70.0552102,city
Bhanvad PS,"Bhanvad Town, Devbhumi Dwarka - 360510",02896-232121,police,Devbhumi Dwarka,22.245312,68.960315,22.2473679,68.9682073,city
Khambhaliya PS,"Shakti Nagar, Khambhaliya, Devbhumi Dwarka - 361305",02833-234735,police,Devbhumi Dwarka,22.259255,68.96274,22.2473679,68.9682073,city
Dwarka PS,"Near Station Chowk, Dwarka, Devbhumi Dwarka - 361335",02829-2234523,police,Devbhumi Dwarka,22.235083,68.96284,22.2473679,68.9682073,city
Okha Marine PS,"Jetty Road, Okha, Devbhumi Dwarka - 361350",02892-262396,police,Devbhumi Dwarka,22.249389,68.979786,22.2473679,68.9682073,city
Mithapur PS,"Mithapur Township, Devbhumi Dwarka - 361345",02892-226038,police,Devbhumi Dwarka,22.258496,68.970431,22.2473679,68.9682073,city
Kalyanpur PS,"Kalyanpur, Devbhumi Dwarka - 361320",02891-286222,police,Devbhumi Dwarka,22.244826,68.962388,22.2473679,68.9682073,city
Salaya Marin PS,"Salaya Port, Devbhumi Dwarka - 361310",02833-285338,police,Devbhumi Dwarka,22.253648,68.968801,22.2473679,68.9682073,city
Vadinar Marin PS,"Vadinar Terminal, Devbhumi Dwarka - 361010",02833-256541,police,Devbhumi Dwarka,22.255035,68.965552,22.2473679,68.9682073,city
Bedi Marine PS,"Bedi Port Area, Jamnagar - 361009",0288-2550100,police,Jamnagar,22.46615,70.055272,22.4732415,70.0552102,city
Bet Dwarka PS,"Bet Dwarka Island, Devbhumi Dwarka - 361345",02892-223300,police,Devbhumi Dwarka,22.256006,68.960319,22.2473679,68.9682073,city
Patan City A-Div PS,"Near New Mamlatdar Office, Patan - 384265",02766-230599,police,Patan,23.787411,71.669566,23.773753,71.6798581,city
Patan City B-Div PS,"Near Siddhpur Char Rasta, Patan - 384265",02766-220800,police,Patan,23.778276,71.684031,23.773753,71.6798581,city
Patan Taluka PS,"Golapur, Ta & Dist Patan - 384265",02766-230699,police,Patan,20.926354,70.360893,20.9072148,70.3657008,city
Balisana PS,"Balisana Village, Patan - 384110",02766-285536,police,Patan,23.775199,71.667728,23.773753,71.6798581,city
Sidhpur PS,"Behind New Court, Sidhpur, Patan - 384151",02767-220057,police,Patan,23.765679,71.696412,23.773753,71.6798581,city
Vagdod PS,"Near Mazid, Vagdod, Saraswati, Patan - 384285",02766-261254,police,Patan,23.790195,71.687842,23.773753,71.6798581,city
Kakoshi PS,"Near Sagar Hotel, Kakoshi, Sidhpur, Patan - 384190",02767-287435,police,Patan,23.766522,71.687425,23.773753,71.6798581,city
Chanasma PS,"Gauravpat Road, Near Bus Station, Chanasma, Patan - 384220",02734-222019,police,Patan,23.790975,71.683237,23.773753,71.6798581,city
Harij PS,"Near Mamlatdar Office, Harij, Patan - 384240",02733-223840,police,Patan,23.777521,71.694119,23.773753,71.6798581,city
Sami PS,"Shankheswar Road, Sami, Patan - 384245",02733-244323,police,Patan,23.766204,71.671706,23.773753,71.6798581,city
Shankheshwar PS,"Near Mamlatdar Office, Shankheshwar, Patan - 384246",02733-295369,police,Patan,23.755142,71.686669,23.773753,71.6798581,city
Radhanpur PS,"New Court Building, Radhanpur, Patan - 385340",02746-277222,police,Patan,23.772897,71.688433,23.773753,71.6798581,city
Varahi PS,"Behind Varahi Taluka Panchayat, Santalpur, Patan - 385360",02738-224123,police,Patan,23.783421,71.665362,23.773753,71.6798581,city
Santalpur PS,"Behind Sarkari Hospital, Santalpur, Patan - 385350",02738-222233,police,Patan,23.763466,71.681783,23.773753,71.6798581,city
Patan Mahila PS,"SP Office Compound, Patan - 384265",02766-220030,police,Patan,23.78515,71.694928,23.773753,71.6798581,city
Bajana PS,"Bajana Village, Surendranagar - 382760",0257-292400,police,Surendranagar,22.820786,71.611195,22.8251395,71.6209736,city
Chotila PS,"NH-47, Chotila, Surendranagar - 363520",02751-280323,police,Surendranagar,22.83306,71.623794,22.8251395,71.6209736,city
Chuda PS,"Chuda Town, Surendranagar - 363410",02753-233340,police,Surendranagar,22.817728,71.61605,22.8251395,71.6209736,city
Dasada PS,"Dasada Town, Surendranagar - 382750",02757-280233,police,Surendranagar,22.820106,71.613704,22.8251395,71.6209736,city
Dhrangadhra City PS,"City Center, Dhrangadhra, Surendranagar - 363310",02754-280750,police,Surendranagar,22.820573,71.603188,22.8251395,71.6209736,city
Dhrangadhra Taluka PS,"Taluka Office Area, Dhrangadhra, Surendranagar - 363310",02754-282652,police,Surendranagar,22.841693,71.61329,22.8251395,71.6209736,city
Jorawar Nagar PS,"Jorawarnagar, Surendranagar - 363020",02752-235106,police,Surendranagar,22.836695,71.628768,22.8251395,71.6209736,city
Lakhtar PS,"Lakhtar Town, Surendranagar - 382775",02759-223233,police,Surendranagar,22.813398,71.622959,22.8251395,71.6209736,city
Limbdi PS,"Limbdi Highway, Surendranagar - 363421",02753-260028,police,Surendranagar,22.813367,71.631279,22.8251395,71.6209736,city
Muli PS,"Muli Town, Surendranagar - 363510",02756-233333,police,Surendranagar,22.8426,71.619691,22.8251395,71.6209736,city
Panshina PS,"Main Road, Panshina, Surendranagar - 363423",02753-256528,police,Surendranagar,22.830236,71.635053,22.8251395,71.6209736,city
Patdi PS,"Patdi Town, Surendranagar - 382765",02757-227400,police,Surendranagar,22.8261,71.611677,22.8251395,71.6209736,city
Sayla PS,"Sayla Town, Surendranagar - 363430",02755-280720,police,Surendranagar,22.817886,71.63364,22.8251395,71.6209736,city
Surendranagar City A,"Station Road, Surendranagar - 363002",02752-243300,police,Surendranagar,22.833119,71.614939,22.8251395,71.6209736,city
Surendranagar City B,"Main Bazar, Surendranagar - 363001",02752-242917,police,Surendranagar,22.834495,71.618077,22.8251395,71.6209736,city
Surendranagar Women,"SP Office Campus, Surendranagar - 363001",02752-283301,police,Surendranagar,22.825356,71.610636,22.8251395,71.6209736,city
Thangadh PS,"Thangadh Town, Surendranagar - 363530",02751-220267,police,Surendranagar,22.817227,71.616406,22.8251395,71.6209736,city
Wadhwan PS,"Wadhwan City, Surendranagar - 363030",02752-243917,police,Surendranagar,22.827311,71.627578,22.8251395,71.6209736,city
Zinzuwada PS,"Zinzuwada Village, Surendranagar - 382755",02757-282333,police,Surendranagar,22.815659,71.612876,22.8251395,71.6209736,city
Mahesana City A Div,"Near Nagarpalika office, Mehsana - 384001",02762-236474,police,Mehsana,23.61126,72.375789,23.6012628,72.3741516,city
Mahesana City B Div,"Umiya Shopping Center, Highway Road, Mehsana - 384001",02762-245333,police,Mehsana,23.60871,72.379444,23.6012628,72.3741516,city
Mahesana Taluka PS,"Azad Chok, Mehsana - 384001",02762-253452,police,Mehsana,23.594828,72.365423,23.6012628,72.3741516,city
Santhal PS,"Near CHC center, Santhal, Mehsana - 384420",02762-265356,police,Mehsana,23.596357,72.364137,23.6012628,72.3741516,city
Langhnaj PS,"Saladi Road, Langhnaj, Mehsana - 382730",02762-287337,police,Mehsana,23.591449,72.373757,23.6012628,72.3741516,city
Becharaji PS,"Near Bahuchar Mataji Temple, Becharaji, Mehsana - 384210",02734-286406,police,Mehsana,23.610721,72.384917,23.6012628,72.3741516,city
Modhera PS,"Near SBI Bank, Main Bazar Modhera, Mehsana - 384212",02734-284323,police,Mehsana,23.600617,72.381116,23.6012628,72.3741516,city
Nandasan PS,"Near Nandasan Chokdi, Nandasan, Mehsana - 382705",02764-273261,police,Mehsana,23.61191,72.370107,23.6012628,72.3741516,city
Kadi PS,"Sardarbag, Near Bus Station, Kadi, Mehsana - 382715",02764-242690,police,Mehsana,23.612547,72.386684,23.6012628,72.3741516,city
Bavalu PS,"Opp. Water Tank, Bavlu, Kadi, Mehsana - 382165",02764-266009,police,Mehsana,23.611415,72.372598,23.6012628,72.3741516,city
Visnagar City PS,"Main Bazar Road, Tower road, Visnagar, Mehsana - 384315",02765-231300,police,Mehsana,23.587217,72.364642,23.6012628,72.3741516,city
Visnagar Taluka PS,"Darbar Road, Near Dena Bank, Visnagar, Mehsana - 384315",02765-231100,police,Mehsana,23.613088,72.379817,23.6012628,72.3741516,city
Vadnagar PS,"Bus Station Road, Near BSNL, Vadnagar, Mehsana - 384355",02761-222033,police,Mehsana,23.607096,72.365665,23.6012628,72.3741516,city
Kheralu PS,"Zuma Masjid Road, Kheralu, Mehsana - 384325",02761-230078,police,Mehsana,23.599506,72.38867,23.6012628,72.3741516,city
Satlasana PS,"Near Bus Station, Satlasana, Mehsana - 384330",02761-253341,police,Mehsana,23.615544,72.387423,23.6012628,72.3741516,city
Unjha PS,"Kamali Road, Laskar Savani, Unjha, Mehsana - 384170",02767-247871,police,Mehsana,23.600142,72.359585,23.6012628,72.3741516,city
Unava PS,"State New Alfa Hotel, Unava, Mehsana - 384160",02767-253900,police,Mehsana,23.590762,72.390445,23.6012628,72.3741516,city
Vasai PS,"Visnagar Gozariya Road, Vasai, Mehsana - 382870",02763-245732,police,Mehsana,23.60847,72.376507,23.6012628,72.3741516,city
Vijapur PS,"Near Ambaji Temple, Ladol Road, Vijapur, Mehsana - 382870",02763-220016,police,Mehsana,23.617042,72.37462,23.6012628,72.3741516,city
Ladol PS,"Near Devada Vas, Ladol, Mehsana - 382840",02763-236013,police,Mehsana,23.599369,72.384174,23.6012628,72.3741516,city
Bilimora PS,"Bangiya Faliya, Gandevi, Navsari - 396321",02634-285333,police,Navsari,20.957439,72.924574,20.952407,72.9323831,city
Chikhli PS,"Near Cricket Ground, Chikhli, Navsari - 396521",02634-232708,police,Navsari,20.95126,72.941334,20.952407,72.9323831,city
Dholai Marin PS,"Dholai Bander, Gandevi, Navsari - 396110",02634-257666,police,Navsari,20.940694,72.927531,20.952407,72.9323831,city
Gandevi PS,"Near Sugar Factory, Gandevi, Navsari - 396360",02634-262233,police,Navsari,20.945193,72.933759,20.952407,72.9323831,city
Jalalpore PS,"Zanda Chowk, Jalalpore, Navsari - 396421",02637-287333,police,Navsari,20.947778,72.938945,20.952407,72.9323831,city
Khergam PS,"Near College, Khergam, Navsari - 396040",02634-220633,police,Navsari,20.946835,72.917076,20.952407,72.9323831,city
Navsari Mahila PS,"2nd floor Navsari Town PS, Navsari - 396445",02637-280305,police,Navsari,20.944481,72.949457,20.952407,72.9323831,city
Maroli PS,"Maroli Bazar, Jalalpore, Navsari - 396435",02637-272050,police,Navsari,20.939704,72.927481,20.952407,72.9323831,city
Navsari Rural PS,"Dasera Tekri Near Saraswati Temple, Navsari - 396444",02637-242410,police,Navsari,20.935453,72.930481,20.952407,72.9323831,city
Anand Town PS,"Station Road, Opp Amri Hospital, Ganesh Chowkdi, Anand - 388001",02692-241233,police,Anand,22.464423,72.75096,22.4739858,72.7361779,city
Vallabh Vidyanagar PS,"Main Road, Beside Bhaikaka Statue, V V Nagar, Anand - 388120",02692-230100,police,Anand,22.473546,72.71939,22.4739858,72.7361779,city
Anand Rural PS,"Ganesh Crossing, Anand - 388001",02692-252450,police,Anand,22.45611,72.729848,22.4739858,72.7361779,city
Borsad Town PS,"Vasad Chokdi, Raja Mohalla, Borsad, Anand - 388540",02696-220100,police,Anand,22.455487,72.738482,22.4739858,72.7361779,city
Nadiad Town PS,"Paras Circle, Station Road, Nadiad, Kheda - 387001",0268-2550100,police,Kheda,22.844525,72.987907,22.8532503,72.9953586,city
Nadiad Rural PS,"Dabhan Road, Nadiad, Kheda - 387001",0268-2561100,police,Kheda,22.837157,72.998138,22.8532503,72.9953586,city
Godhra Town A PS,"Near Sub Jail, Godhra, Panchmahal - 389001",02672-243146,police,Panchmahal,22.69709,73.609506,22.6978099,73.5980682,city
Godhra Town B PS,"Behind Main Post Office, Godhra, Panchmahal - 389001",02672-243147,police,Panchmahal,22.705415,73.581833,22.6978099,73.5980682,city
Godhra Taluka PS,"Opp. Bus Stand, Taluka Godhra, Panchmahal - 389001",02672-243166,police,Panchmahal,22.697479,73.608599,22.6978099,73.5980682,city
Morva Hadaf PS,"Taluka Morva Hadaf, Panchmahal - 389115",02672-284233,police,Panchmahal,22.69105,73.606973,22.6978099,73.5980682,city
Sahera PS,"Taluka Sahera, Panchmahal - 389210",02670-226233,police,Panchmahal,22.716271,73.599489,22.6978099,73.5980682,city
Kakanpur PS,"Kakanpur, Taluka Godhra, Panchmahal - 388713",02672-286108,police,Panchmahal,22.69118,73.595978,22.6978099,73.5980682,city
Halol Town PS,"Halol City, Panchmahal - 389350",02676-220100,police,Panchmahal,22.694477,73.592565,22.6978099,73.5980682,city
Halol Rural PS,"Pawagadh Road, Taluka Halol, Panchmahal - 389350",02676-224100,police,Panchmahal,22.691285,73.602603,22.6978099,73.5980682,city
Rajgadh PS,"Taluka Ghoghamba, Panchmahal - 389365",02678-244633,police,Panchmahal,22.686816,73.607326,22.6978099,73.5980682,city
Jambughoda PS,"Taluka Jambughoda, Panchmahal - 389390",02676-241233,police,Panchmahal,22.687527,73.587749,22.6978099,73.5980682,city
Pavagadh PS,"Machi, Pavagadh, Taluka Halol, Panchmahal - 389360",02676-245633,police,Panchmahal,22.706241,73.590662,22.6978099,73.5980682,city
Vejalpur PS (Panchmahal),"Taluka Kaalol, Panchmahal - 389340",02676-234633,police,Panchmahal,22.681314,73.59507,22.6978099,73.5980682,city
Kaalol PS,"Taluka Kaalol, Panchmahal - 389330",02676-235100,police,Panchmahal,22.6891,73.599588,22.6978099,73.5980682,city
Veraval City PS,"Veraval City, Gir Somnath - 362265",02877-242040,police,Gir Somnath,20.921681,70.770867,20.9298181,70.7627578,city
Prabhas Patan PS,"Prabhas Patan, Gir Somnath - 362268",02877-231631,police,Gir Somnath,20.935675,70.760162,20.9298181,70.7627578,city
Kodinar PS,"Kodinar Town, Gir Somnath - 362725",02795-221505,police,Gir Somnath,20.93234,70.769879,20.9298181,70.7627578,city
Una PS,"Una Town, Gir Somnath - 362560",02875-223394,police,Gir Somnath,20.92071,70.766163,20.9298181,70.7627578,city
Somnath Marine PS,"Somnath Coastal Area, Gir Somnath - 362268",02877-232101,police,Gir Somnath,20.941481,70.773787,20.9298181,70.7627578,city
Navabandar Marine PS,"Navabandar, Gir Somnath - 362530",6359625992,police,Gir Somnath,20.920858,70.770601,20.9298181,70.7627578,city
Talala PS,"Talala Town, Gir Somnath - 362150",02877-222233,police,Gir Somnath,20.945662,70.761288,20.9298181,70.7627578,city
Gir Gadhada PS,"Gir Gadhada, Gir Somnath - 362530",6359625003,police,Gir Somnath,20.93626,70.767737,20.9298181,70.7627578,city
Sutrapada PS,"Sutrapada Town, Gir Somnath - 362275",02877-263337,police,Gir Somnath,20.934567,70.769199,20.9298181,70.7627578,city
Bhavnath PS,"Bhavnath Taleti, Junagadh - 362004",0285-2651000,police,Junagadh,21.526596,70.44741,21.5220416,70.4582458,city
Bilkha PS,"Bilkha Town, Junagadh - 362110",0285-2683000,police,Junagadh,21.530291,70.460689,21.5220416,70.4582458,city
Bhesan PS,"Bhesan Town, Junagadh - 362020",02873-222033,police,Junagadh,21.520497,70.448915,21.5220416,70.4582458,city
Bantva PS,"Bantwa Town, Junagadh - 362620",02874-241033,police,Junagadh,21.527591,70.454199,21.5220416,70.4582458,city
Manavadar PS,"Manavadar Town, Junagadh - 362630",02874-221033,police,Junagadh,21.522993,70.46485,21.5220416,70.4582458,city
Keshod PS,"Pipaliya Nagar, Keshod Chowk, Junagadh - 362220",02871-231033,police,Junagadh,21.510971,70.460802,21.5220416,70.4582458,city
Ambaji PS,"Abu Ambaji Highway, Near Petrol Pump, Banaskantha - 385110",02749-262136,police,Banaskantha,24.277432,72.534968,24.2693869,72.5367513,city
Amirgadh PS,"Main Road, Shri Amirgadh, Banaskantha - 385130",02742-252600,police,Banaskantha,24.283152,72.530965,24.2693869,72.5367513,city
Bhabhar PS,"Bhabhar Town, Banaskantha - 385320",02735-222052,police,Banaskantha,24.276844,72.532515,24.2693869,72.5367513,city
Bhiladi PS,"Bhiladi Town, Banaskantha - 385530",02744-233033,police,Banaskantha,24.256338,72.54229,24.2693869,72.5367513,city
Agthala PS,"Agthala Village, Banaskantha - 385535",02744-245033,police,Banaskantha,24.254985,72.53829,24.2693869,72.5367513,city
Ahmedabad Railway PS,"Platform Number 1, Kalupur, Ahmedabad - 380001",079-22122870,railway_police,Ahmedabad,23.028881,72.578616,23.0215374,72.5800568,city
Viramgam Railway PS,"Main Road, Dolatpura, Viramgam - 382150",02715-233000,railway_police,Ahmedabad,23.106093,72.041518,23.1224522,72.0483946,city
Mehsana Railway PS,"Main Road, Nagalpur, Mehsana - 384001",02762-222000,railway_police,Mehsana,23.603655,72.38035,23.6012628,72.3741516,city
Sayaji Ganj Railway PS,"Behind Platform No 6, Vadodara - 390020",0265-2361000,railway_police,Vadodara,22.30713,73.186079,22.2973142,73.1942567,city
Bhavnagar Railway PS,"Platform No. 1, Kalanala, Bhavnagar - 364001",0278-2422000,railway_police,Bhavnagar,21.784445,72.131142,21.7718836,72.1416449,city
Bharuch Railway PS,"Near Highway, Panch Batti, Bharuch - 392001",02642-242000,railway_police,Bharuch,21.723942,72.996833,21.7080427,72.9956936,city
Surat Railway PS,"Opposite Central Bus Depot, Delhi Gate, Surat - 395003",0261-2422966,railway_police,Surat,21.205127,72.839876,21.2094892,72.8317058,city
